# rank |         avg          
#------+----------------------
    1 |  56.0000000000000000
    2 |  64.0000000000000000
    3 |  66.4000000000000000
    4 |  74.4000000000000000
    5 |  78.6000000000000000
    6 |  87.2000000000000000
    7 |  87.2000000000000000
    8 |  87.8000000000000000
    9 |  87.8000000000000000
   10 |  89.8000000000000000
   11 |  92.4000000000000000
   12 |  92.4000000000000000
   13 |  94.0000000000000000
   14 |  94.0000000000000000
   15 |  96.2000000000000000
   16 |  96.2000000000000000
   17 |  96.2000000000000000
   18 |  96.2000000000000000
   19 |  96.2000000000000000
   20 |  96.2000000000000000
   21 |  96.2000000000000000
   22 |  98.6000000000000000
   23 |  98.6000000000000000
   24 |  98.6000000000000000
   25 |  98.6000000000000000
   26 |  98.6000000000000000
   27 |  98.6000000000000000
   28 |  99.2000000000000000
   29 |  99.2000000000000000
   30 |  99.2000000000000000
   31 |  99.2000000000000000
   32 |  99.2000000000000000
   33 |  99.2000000000000000
   34 |  99.2000000000000000
   35 |  99.2000000000000000
   36 |  99.6000000000000000
   37 |  99.6000000000000000
   38 |  99.6000000000000000
   39 |  99.6000000000000000
   40 |  99.6000000000000000
   41 |  99.6000000000000000
   42 |  99.6000000000000000
   43 |  99.6000000000000000
   44 |  99.6000000000000000
   45 |  99.6000000000000000
   46 |  99.6000000000000000
   47 |  99.6000000000000000
   48 |  99.6000000000000000
   49 |  99.6000000000000000
   50 |  99.6000000000000000
   51 |  99.6000000000000000
   52 |  99.6000000000000000
   53 |  99.6000000000000000
   54 |  99.6000000000000000
   55 |  99.6000000000000000
   56 |  99.6000000000000000
   57 |  99.6000000000000000
   58 |  99.6000000000000000
   59 |  99.6000000000000000
   60 |  99.6000000000000000
   61 |  99.6000000000000000
   62 |  99.6000000000000000
   63 |  99.6000000000000000
   64 |  99.6000000000000000
   65 |  99.6000000000000000
   66 |  99.6000000000000000
   67 |  99.6000000000000000
   68 |  99.6000000000000000
   69 |  99.6000000000000000
   70 |  99.6000000000000000
   71 |  99.6000000000000000
   72 |  99.6000000000000000
   73 |  99.6000000000000000
   74 |  99.6000000000000000
   75 |  99.6000000000000000
   76 |  99.6000000000000000
   77 |  99.6000000000000000
   78 |  99.6000000000000000
   79 |  99.6000000000000000
   80 |  99.6000000000000000
   81 |  99.6000000000000000
   82 |  99.6000000000000000
   83 |  99.6000000000000000
   84 |  99.6000000000000000
   85 |  99.6000000000000000
   86 |  99.6000000000000000
   87 |  99.6000000000000000
   88 |  99.6000000000000000
   89 | 100.0000000000000000
   90 | 100.0000000000000000
   91 | 100.0000000000000000
   92 | 100.0000000000000000
   93 | 100.0000000000000000
   94 | 100.0000000000000000
   95 | 100.0000000000000000
   96 | 100.0000000000000000
   97 | 100.0000000000000000
   98 | 100.0000000000000000
   99 | 100.0000000000000000
  100 | 100.0000000000000000
  101 | 100.0000000000000000
  102 | 100.0000000000000000
  103 | 100.0000000000000000
  104 | 100.0000000000000000
  105 | 100.0000000000000000
  106 | 100.0000000000000000
  107 | 100.0000000000000000
  108 | 100.0000000000000000
  109 | 100.0000000000000000
  110 | 100.0000000000000000
  111 | 100.0000000000000000
  112 | 100.0000000000000000
  113 | 100.0000000000000000
  114 | 100.0000000000000000
  115 | 100.0000000000000000
  116 | 100.0000000000000000
  117 | 100.0000000000000000
  118 | 100.0000000000000000
  119 | 100.0000000000000000
  120 | 100.0000000000000000
  121 | 100.0000000000000000
  122 | 100.0000000000000000
  123 | 100.0000000000000000
  124 | 100.0000000000000000
  125 | 100.0000000000000000
  126 | 100.0000000000000000
  127 | 100.0000000000000000
  128 | 100.0000000000000000
  129 | 100.0000000000000000
  130 | 100.0000000000000000
  131 | 100.0000000000000000
  132 | 100.0000000000000000
  133 | 100.0000000000000000
  134 | 100.0000000000000000
  135 | 100.0000000000000000
  136 | 100.0000000000000000
